Crime Id,Original Crime Type Name,Report Date,Call Date,Offense Date,Call Time,Call Date Time,Disposition,Address,City,State,Agency Id,Address Type,Common Location
160942891,Muni Inspection,2016-04-03T00:00:00,2016-04-03T00:00:00,2016-04-03T00:00:00,18:15,2016-04-03T18:15:00,Not recorded,900 Block Of Ulloa St,San Francisco,CA,1,Common Location,"West Portal Muni, Sf"
160930487,913,2016-04-02T00:00:00,2016-04-02T00:00:00,2016-04-02T00:00:00,03:55,2016-04-02T03:55:00,HAN,Folsom St/13th St,San Francisco,CA,1,Intersection,
160941602,Passing Call,2016-04-03T00:00:00,2016-04-03T00:00:00,2016-04-03T00:00:00,11:49,2016-04-03T11:49:00,HAN,2900 Block Of Taylor St,San Francisco,CA,1,Common Location,"Fishermans Wharf, Sf"
160922392,Passing Call,2016-04-01T00:00:00,2016-04-01T00:00:00,2016-04-01T00:00:00,16:09,2016-04-01T16:09:00,Not recorded,1100 Block Of Market St,San Francisco,CA,1,Common Location,"Civic Center Muni, Sf"
160923170,Threats / Harassment,2016-04-01T00:00:00,2016-04-01T00:00:00,2016-04-01T00:00:00,19:11,2016-04-01T19:11:00,NOM,26th Av/geary Bl,San Francisco,CA,1,Intersection,
160921127,Rep,2016-04-01T00:00:00,2016-04-01T00:00:00,2016-04-01T00:00:00,10:08,2016-04-01T10:08:00,HAN,300 Block Of Bryant St,San Francisco,CA,1,Premise Address,
160931534,Passing Call,2016-04-02T00:00:00,2016-04-02T00:00:00,2016-04-02T00:00:00,12:08,2016-04-02T12:08:00,HAN,600 Blk Larch St,San Francisco,CA,1,Geo-Override,
160933025,Passing Call,2016-04-02T00:00:00,2016-04-02T00:00:00,2016-04-02T00:00:00,19:04,2016-04-02T19:04:00,Not recorded,1100 Blk Fillmore St,San Francisco,CA,1,Geo-Override,
160922264,Suspicious Person,2016-04-01T00:00:00,2016-04-01T00:00:00,2016-04-01T00:00:00,15:35,2016-04-01T15:35:00,CIT,Golden Gate Av/leavenworth St,San Francisco,CA,1,Intersection,
160923034,Meet W/citizen,2016-04-01T00:00:00,2016-04-01T00:00:00,2016-04-01T00:00:00,18:36,2016-04-01T18:36:00,HAN,0 Block Of Brookdale Av,San Francisco,CA,1,Premise Address,
